Race,Gender,Ethnicity,BeginDate,EndDate,LOS,AA,Wellness,SSM,VITotal,VIFamily,VISingle,VIHistory,VIRisk,VIDaily,VIWellness,VIFamilyUnit,Outcome,HousingPlacement,Family,JobPlacement,JobTraining,CriminalHistory,Issues,ChronicHomeless,CaseMgmt,PartnerServices,Recidivism,AgeEntry,AgeExit,IssueScore,CrimeScore,Exit,EarnedExit,BenefitsExit,PSH,HPOutcome
0,1,1,8/17/2010,8/24/2010,7,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,0,0,43,43,4,0,0,0,0,0,0
0,0,1,8/17/2010,8/23/2010,6,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,1,0,0,0,1,28,28,2,0,0,0,0,0,0
0,1,0,8/24/2010,2/17/2011,177,0,0,25,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,2,0,20,21,6,4,0,0,0,0,0
0,1,0,9/17/2010,4/16/2012,577,0,0,29,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,0,1,0,0,0,7,25,0,41,43,0,0,1280,1280,0,1,1
0,1,1,9/3/2013,6/5/2014,275,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,0,0,0,0,0,1,1,0,6,0,55,56,21,0,720,0,1,0,0
0,1,0,8/23/2010,9/8/2010,16,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0
0,0,1,9/10/2010,12/3/2010,84,0,0,29,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,0,0,22,22,1,0,0,0,0,0,0
0,1,1,8/18/2010,2/1/2011,167,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,1,0,2,0,31,31,0,0,0,0,0,0,0
0,1,0,8/19/2010,10/23/2010,65,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,1,0,53,53,0,0,0,0,0,0,0
0,0,1,8/19/2010,11/11/2010,84,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,0,0,59,59,8,2,0,0,0,0,0
